	event_type	country	admin1	admin2	event_date	iso3
0	Battles	Ethiopia	Afar	Kilbati /Zone2	2022-01	ETH
3	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
4	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
5	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
6	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
7	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
8	Battles	Somalia	Lower Juba	Afmadow	2022-01	SOM
9	Battles	Kenya	Mandera	Mandera West	2022-01	KEN
10	Battles	Uganda	Northern	Napak	2022-01	UGA
11	Strategic developments	Ethiopia	Dire Dawa	Dire Dawa urban	2022-01	ETH
12	Protests	Kenya	Nairobi	Starehe	2022-01	KEN
16	Explosions/Remote violence	Ethiopia	Afar	Kilbati /Zone2	2022-01	ETH
17	Riots	South Sudan	Upper Nile	Malakal	2022-01	SSD
20	Protests	Kenya	Kiambu	Kiambu	2022-01	KEN
21	Violence against civilians	Ethiopia	Oromia	South West Shewa	2022-01	ETH
22	Protests	Kenya	Narok	Narok North	2022-01	KEN
23	Protests	Kenya	Kiambu	Thika Town	2022-01	KEN
24	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
25	Explosions/Remote violence	Somalia	Banadir	Banadir	2022-01	SOM
26	Riots	South Sudan	Central Equatoria	Juba	2022-01	SSD
27	Riots	Kenya	Kajiado	Kajiado East	2022-01	KEN
30	Riots	Kenya	Kiambu	Thika Town	2022-01	KEN
31	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
32	Battles	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
33	Battles	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
34	Battles	Ethiopia	Oromia	Guji	2022-01	ETH
35	Battles	Ethiopia	Oromia	Guji	2022-01	ETH
36	Battles	South Sudan	Western Bahr el Ghazal	Jur River	2022-01	SSD
37	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
38	Battles	Ethiopia	Amhara	Wag Hamra	2022-01	ETH
39	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
40	Battles	Ethiopia	Amhara	Wag Hamra	2022-01	ETH
41	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
42	Battles	Ethiopia	Tigray	North Western	2022-01	ETH
43	Riots	Uganda	Eastern	Bukwo	2022-01	UGA
44	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
45	Strategic developments	Ethiopia	Oromia	West Shewa	2022-01	ETH
46	Protests	Kenya	Isiolo	Isiolo North	2022-01	KEN
47	Battles	Somalia	Middle Shabelle	Balcad	2022-01	SOM
48	Explosions/Remote violence	Somalia	Middle Shabelle	Balcad	2022-01	SOM
49	Explosions/Remote violence	Ethiopia	Tigray	Mekelle	2022-01	ETH
50	Violence against civilians	South Sudan	Eastern Equatoria	Torit	2022-01	SSD
51	Strategic developments	Kenya	Lamu	Lamu West	2022-01	KEN
52	Protests	Kenya	Nairobi	Starehe	2022-01	KEN
53	Protests	Kenya	Migori	Kuria West	2022-01	KEN
54	Violence against civilians	Uganda	Central	Kampala	2022-01	UGA
55	Riots	Kenya	Kajiado	Kajiado East	2022-01	KEN
56	Violence against civilians	Ethiopia	Oromia	Kelem Wellega	2022-01	ETH
57	Violence against civilians	Ethiopia	Oromia	West Shewa	2022-01	ETH
58	Violence against civilians	Ethiopia	Benishangul Gumz	Metekel	2022-01	ETH
59	Violence against civilians	South Sudan	Jonglei	Pibor	2022-01	SSD
60	Battles	Somalia	Lower Juba	Kismaayo	2022-01	SOM
61	Battles	Somalia	Lower Juba	Badhaadhe	2022-01	SOM
62	Violence against civilians	Kenya	Baringo	Baringo North	2022-01	KEN
63	Protests	Kenya	Siaya	Ugenya	2022-01	KEN
64	Riots	Kenya	Homa Bay	Ndhiwa	2022-01	KEN
66	Battles	Somalia	Lower Juba	Jamaame	2022-01	SOM
67	Battles	Somalia	Lower Shabelle	Baraawe	2022-01	SOM
68	Explosions/Remote violence	Somalia	Middle Juba	Jilib	2022-01	SOM
69	Riots	Somalia	Nugaal	Burtinle	2022-01	SOM
70	Battles	Somalia	Lower Juba	Jamaame	2022-01	SOM
71	Explosions/Remote violence	Somalia	Gedo	Ceel Waaq	2022-01	SOM
72	Protests	Uganda	Northern	Abim	2022-01	UGA
73	Strategic developments	Uganda	Northern	Kitgum	2022-01	UGA
74	Violence against civilians	Uganda	Northern	Abim	2022-01	UGA
75	Protests	Kenya	Meru	Tigania West	2022-01	KEN
76	Battles	Somalia	Lower Juba	Kismaayo	2022-01	SOM
77	Battles	Somalia	Lower Juba	Kismaayo	2022-01	SOM
78	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
79	Violence against civilians	Somalia	Nugaal	Garoowe	2022-01	SOM
80	Battles	South Sudan	Jonglei	Pochalla	2022-01	SSD
81	Protests	Uganda	Western	Kabarole	2022-01	UGA
82	Explosions/Remote violence	Ethiopia	Tigray	North Western	2022-01	ETH
83	Battles	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
84	Protests	Kenya	Elgeyo-Marakwet	Marakwet East	2022-01	KEN
86	Violence against civilians	South Sudan	Western Bahr el Ghazal	Jur River	2022-01	SSD
88	Battles	Kenya	Garissa	Dadaab	2022-01	KEN
89	Riots	Kenya	Lamu	Lamu West	2022-01	KEN
90	Violence against civilians	Somalia	Banadir	Banadir	2022-01	SOM
92	Violence against civilians	Somalia	Awdal	Borama	2022-01	SOM
93	Riots	Uganda	Central	Luwero	2022-01	UGA
94	Violence against civilians	Uganda	Central	Wakiso	2022-01	UGA
95	Riots	Kenya	Nyamira	Borabu	2022-01	KEN
97	Battles	Somalia	Galgaduud	Cadaado	2022-01	SOM
98	Battles	Somalia	Galgaduud	Dhuusamarreeb	2022-01	SOM
99	Violence against civilians	Somalia	Banadir	Banadir	2022-01	SOM
100	Battles	South Sudan	Upper Nile	Maiwut	2022-01	SSD
101	Battles	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
102	Explosions/Remote violence	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
103	Battles	Uganda	Northern	Kotido	2022-01	UGA
104	Protests	Kenya	Baringo	Baringo South	2022-01	KEN
105	Battles	Somalia	Lower Juba	Afmadow	2022-01	SOM
107	Battles	Kenya	Lamu	Lamu West	2022-01	KEN
109	Battles	Somalia	Lower Juba	Kismaayo	2022-01	SOM
110	Battles	Somalia	Gedo	Belet Xaawo	2022-01	SOM
111	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
112	Strategic developments	Ethiopia	Oromia	West Shewa	2022-01	ETH
113	Riots	Kenya	Nyamira	Borabu	2022-01	KEN
117	Battles	Somalia	Bari	Bossaso	2022-01	SOM
118	Violence against civilians	Somalia	Banadir	Banadir	2022-01	SOM
119	Protests	Uganda	Central	Kampala	2022-01	UGA
120	Battles	Ethiopia	Benishangul Gumz	Assosa	2022-01	ETH
121	Battles	Ethiopia	Benishangul Gumz	Kamashi	2022-01	ETH
123	Violence against civilians	Uganda	Eastern	Mbale	2022-01	UGA
125	Battles	South Sudan	Unity	Koch	2022-01	SSD
126	Battles	Somalia	Gedo	Garbahaarey	2022-01	SOM
127	Violence against civilians	Somalia	Bay	Baydhaba	2022-01	SOM
128	Explosions/Remote violence	Kenya	Lamu	Lamu West	2022-01	KEN
129	Battles	Somalia	Galgaduud	Cadaado	2022-01	SOM
130	Protests	South Sudan	Jonglei	Bor South	2022-01	SSD
131	Violence against civilians	Kenya	Baringo	Baringo North	2022-01	KEN
132	Violence against civilians	Kenya	Elgeyo-Marakwet	Marakwet East	2022-01	KEN
136	Explosions/Remote violence	Somalia	Galgaduud	Dhuusamarreeb	2022-01	SOM
137	Strategic developments	Ethiopia	Harari	Harari	2022-01	ETH
139	Protests	Kenya	Baringo	Tiaty	2022-01	KEN
140	Protests	Kenya	Meru	Igembe South	2022-01	KEN
144	Riots	Kenya	West Pokot	Pokot South	2022-01	KEN
145	Battles	South Sudan	Lakes	Yirol West	2022-01	SSD
147	Strategic developments	Kenya	Mandera	Mandera East	2022-01	KEN
148	Battles	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
149	Violence against civilians	Somalia	Gedo	Baardheere	2022-01	SOM
150	Violence against civilians	Somalia	Banadir	Banadir	2022-01	SOM
151	Explosions/Remote violence	Ethiopia	Tigray	North Western	2022-01	ETH
152	Battles	South Sudan	Upper Nile	Manyo	2022-01	SSD
153	Battles	Somalia	Bari	Qardho	2022-01	SOM
156	Battles	Somalia	Middle Shabelle	Jowhar	2022-01	SOM
158	Violence against civilians	South Sudan	Eastern Equatoria	Torit	2022-01	SSD
159	Protests	Kenya	Baringo	Tiaty	2022-01	KEN
161	Battles	Somalia	Bay	Diinsoor	2022-01	SOM
162	Battles	Somalia	Lower Shabelle	Marka	2022-01	SOM
163	Explosions/Remote violence	Somalia	Banadir	Banadir	2022-01	SOM
164	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
165	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
166	Protests	Uganda	Central	Gomba	2022-01	UGA
167	Battles	Somalia	Bari	Qandala	2022-01	SOM
168	Riots	Kenya	Murang'a	Kiharu	2022-01	KEN
169	Strategic developments	Kenya	Laikipia	Laikipia North	2022-01	KEN
171	Protests	Kenya	Machakos	Mavoko	2022-01	KEN
172	Explosions/Remote violence	Ethiopia	Tigray	North Western	2022-01	ETH
174	Violence against civilians	Kenya	Elgeyo-Marakwet	Marakwet West	2022-01	KEN
175	Strategic developments	Kenya	Lamu	Lamu West	2022-01	KEN
178	Riots	Uganda	Eastern	Kumi	2022-01	UGA
180	Battles	Somalia	Lower Juba	Kismaayo	2022-01	SOM
181	Violence against civilians	Kenya	Meru	Tigania West	2022-01	KEN
182	Violence against civilians	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
183	Violence against civilians	Ethiopia	Oromia	West Shewa	2022-01	ETH
184	Battles	South Sudan	Upper Nile	Maban	2022-01	SSD
185	Battles	South Sudan	Central Equatoria	Juba	2022-01	SSD
186	Battles	Somalia	Lower Juba	Afmadow	2022-01	SOM
187	Battles	Somalia	Galgaduud	Dhuusamarreeb	2022-01	SOM
188	Riots	Uganda	Central	Wakiso	2022-01	UGA
189	Violence against civilians	Uganda	Central	Kampala	2022-01	UGA
190	Protests	Uganda	Eastern	Bukedea	2022-01	UGA
192	Strategic developments	Ethiopia	Oromia	East Shewa	2022-01	ETH
193	Battles	Somalia	Banadir	Banadir	2022-01	SOM
194	Battles	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
195	Battles	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
196	Explosions/Remote violence	Somalia	Togdheer	Buuhoodle	2022-01	SOM
198	Protests	Kenya	Embu	Gachoka	2022-01	KEN
201	Riots	South Sudan	Central Equatoria	Juba	2022-01	SSD
202	Strategic developments	South Sudan	Jonglei	Pibor	2022-01	SSD
203	Battles	South Sudan	Northern Bahr el Ghazal	Aweil East	2022-01	SSD
206	Violence against civilians	South Sudan	Jonglei	Uror	2022-01	SSD
207	Explosions/Remote violence	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
209	Violence against civilians	Kenya	Lamu	Lamu West	2022-01	KEN
210	Violence against civilians	Somalia	Hiraan	Belet Weyne	2022-01	SOM
211	Battles	Somalia	Galgaduud	Dhuusamarreeb	2022-01	SOM
212	Explosions/Remote violence	Somalia	Bakool	Waajid	2022-01	SOM
213	Violence against civilians	Ethiopia	Amhara	Wag Hamra	2022-01	ETH
214	Violence against civilians	Uganda	Central	Kampala	2022-01	UGA
215	Protests	Uganda	Central	Kayunga	2022-01	UGA
217	Riots	Uganda	Western	Ibanda	2022-01	UGA
218	Protests	Ethiopia	Somali	Siti	2022-01	ETH
219	Violence against civilians	Uganda	Northern	Lamwo	2022-01	UGA
220	Violence against civilians	South Sudan	Jonglei	Bor South	2022-01	SSD
221	Protests	Kenya	West Pokot	Kapenguria	2022-01	KEN
222	Battles	Ethiopia	Amhara	Wag Hamra	2022-01	ETH
223	Battles	Ethiopia	Amhara	North Gondar	2022-01	ETH
224	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
225	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
228	Violence against civilians	Kenya	Lamu	Lamu West	2022-01	KEN
229	Riots	Kenya	Isiolo	Isiolo North	2022-01	KEN
231	Violence against civilians	Somalia	Banadir	Banadir	2022-01	SOM
232	Riots	Somalia	Hiraan	Belet Weyne	2022-01	SOM
233	Protests	Kenya	Busia	Teso North	2022-01	KEN
234	Violence against civilians	Kenya	Lamu	Lamu West	2022-01	KEN
237	Violence against civilians	Ethiopia	Oromia	East Wellega	2022-01	ETH
241	Riots	Somalia	Hiraan	Belet Weyne	2022-01	SOM
242	Battles	Somalia	Sool	Laas Caanood	2022-01	SOM
243	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
244	Strategic developments	Ethiopia	Amhara	North Wello	2022-01	ETH
245	Riots	Uganda	Eastern	Iganga	2022-01	UGA
246	Violence against civilians	Uganda	Central	Mukono	2022-01	UGA
247	Battles	Kenya	Isiolo	Isiolo North	2022-01	KEN
248	Battles	Kenya	Samburu	Samburu East	2022-01	KEN
250	Explosions/Remote violence	Somalia	Banadir	Banadir	2022-01	SOM
251	Battles	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
252	Battles	Somalia	Lower Shabelle	Marka	2022-01	SOM
253	Violence against civilians	Somalia	Bay	Buur Hakaba	2022-01	SOM
256	Explosions/Remote violence	Somalia	Galgaduud	Dhuusamarreeb	2022-01	SOM
257	Riots	South Sudan	Lakes	Awerial	2022-01	SSD
261	Violence against civilians	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
262	Violence against civilians	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
264	Battles	Somalia	Banadir	Banadir	2022-01	SOM
265	Explosions/Remote violence	Somalia	Banadir	Banadir	2022-01	SOM
268	Violence against civilians	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
269	Protests	Uganda	Central	Mukono	2022-01	UGA
270	Violence against civilians	Uganda	Eastern	Bukedea	2022-01	UGA
272	Violence against civilians	Kenya	West Pokot	Sigor	2022-01	KEN
273	Battles	Ethiopia	Oromia	North Shewa (OR)	2022-01	ETH
274	Explosions/Remote violence	Kenya	Lamu	Lamu East	2022-01	KEN
276	Strategic developments	Somalia	Lower Shabelle	Afgooye	2022-01	SOM
278	Explosions/Remote violence	Somalia	Lower Juba	Afmadow	2022-01	SOM
279	Battles	Somalia	Bay	Qansax Dheere	2022-01	SOM
280	Riots	Uganda	Western	Kiryandongo	2022-01	UGA
282	Explosions/Remote violence	Somalia	Hiraan	Belet Weyne	2022-01	SOM
283	Explosions/Remote violence	Somalia	Lower Shabelle	Marka	2022-01	SOM
285	Strategic developments	Ethiopia	Amhara	North Wello	2021-12	ETH
286	Protests	Somalia	Banadir	Banadir	2021-12	SOM
287	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
288	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
289	Battles	Somalia	Lower Juba	Badhaadhe	2021-12	SOM
290	Battles	Somalia	Banadir	Banadir	2021-12	SOM
291	Battles	Somalia	Lower Shabelle	Qoryooley	2021-12	SOM
292	Battles	Somalia	Lower Juba	Kismaayo	2021-12	SOM
293	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
294	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
295	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
296	Battles	Somalia	Lower Juba	Afmadow	2021-12	SOM
297	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
298	Battles	Somalia	Lower Juba	Badhaadhe	2021-12	SOM
299	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
300	Violence against civilians	South Sudan	Northern Bahr el Ghazal	Aweil East	2021-12	SSD
302	Violence against civilians	Uganda	Central	Mukono	2021-12	UGA
303	Violence against civilians	South Sudan	Western Equatoria	Tambura	2021-12	SSD
304	Violence against civilians	South Sudan	Western Equatoria	Maridi	2021-12	SSD
307	Battles	Somalia	Lower Juba	Afmadow	2021-12	SOM
308	Explosions/Remote violence	Somalia	Lower Juba	Kismaayo	2021-12	SOM
309	Battles	Ethiopia	Oromia	West Shewa	2021-12	ETH
310	Violence against civilians	Ethiopia	Oromia	Horo Gudru Wellega	2021-12	ETH
311	Battles	Somalia	Middle Shabelle	Balcad	2021-12	SOM
312	Battles	Somalia	Hiraan	Belet Weyne	2021-12	SOM
313	Battles	Ethiopia	Oromia	North Shewa (OR)	2021-12	ETH
314	Violence against civilians	Ethiopia	Oromia	North Shewa (OR)	2021-12	ETH
315	Violence against civilians	Uganda	Western	Ntungamo	2021-12	UGA
317	Protests	Kenya	West Pokot	Kacheliba	2021-12	KEN
318	Battles	Somalia	Sool	Laas Caanood	2021-12	SOM
319	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
322	Battles	Somalia	Lower Shabelle	Baraawe	2021-12	SOM
323	Battles	Ethiopia	Oromia	East Wellega	2021-12	ETH
324	Explosions/Remote violence	Somalia	Gedo	Baardheere	2021-12	SOM
325	Violence against civilians	Somalia	Banadir	Banadir	2021-12	SOM
326	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
327	Violence against civilians	South Sudan	Jonglei	Pibor	2021-12	SSD
328	Protests	Somalia	Banadir	Banadir	2021-12	SOM
329	Protests	Ethiopia	Amhara	West Gondar	2021-12	ETH
330	Violence against civilians	Uganda	Central	Kampala	2021-12	UGA
331	Riots	Uganda	Central	Mukono	2021-12	UGA
332	Protests	Uganda	Central	Kampala	2021-12	UGA
333	Battles	Somalia	Bakool	Waajid	2021-12	SOM
334	Riots	Kenya	Kiambu	Githunguri	2021-12	KEN
335	Violence against civilians	South Sudan	Northern Bahr el Ghazal	Aweil East	2021-12	SSD
338	Riots	Kenya	Nakuru	Molo	2021-12	KEN
339	Battles	Ethiopia	Oromia	East Wellega	2021-12	ETH
340	Battles	Ethiopia	Oromia	East Wellega	2021-12	ETH
341	Battles	Ethiopia	Oromia	East Wellega	2021-12	ETH
342	Violence against civilians	Ethiopia	Oromia	East Shewa	2021-12	ETH
343	Battles	Somalia	Lower Juba	Afmadow	2021-12	SOM
344	Violence against civilians	South Sudan	Jonglei	Uror	2021-12	SSD
345	Battles	Somalia	Galgaduud	Dhuusamarreeb	2021-12	SOM
346	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
347	Battles	Somalia	Bay	Baydhaba	2021-12	SOM
348	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
349	Strategic developments	Somalia	Bakool	Xudur	2021-12	SOM
350	Riots	Uganda	Western	Kabarole	2021-12	UGA
351	Battles	South Sudan	Jonglei	Bor South	2021-12	SSD
353	Battles	Ethiopia	Dire Dawa	Dire Dawa rural	2021-12	ETH
354	Battles	Uganda	Northern	Napak	2021-12	UGA
356	Battles	Somalia	Lower Juba	Afmadow	2021-12	SOM
357	Strategic developments	Ethiopia	Amhara	Wag Hamra	2021-12	ETH
358	Explosions/Remote violence	Uganda	Central	Kampala	2021-12	UGA
359	Battles	Ethiopia	Amhara	North Gondar	2021-12	ETH
360	Battles	Ethiopia	Amhara	North Gondar	2021-12	ETH
362	Riots	Uganda	Central	Kampala	2021-12	UGA
363	Violence against civilians	South Sudan	Jonglei	Pochalla	2021-12	SSD
364	Violence against civilians	South Sudan	Jonglei	Uror	2021-12	SSD
365	Battles	Somalia	Lower Shabelle	Baraawe	2021-12	SOM
366	Battles	Somalia	Lower Shabelle	Baraawe	2021-12	SOM
367	Battles	Somalia	Banadir	Banadir	2021-12	SOM
368	Battles	Somalia	Banadir	Banadir	2021-12	SOM
369	Battles	Somalia	Banadir	Banadir	2021-12	SOM
370	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
371	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
373	Violence against civilians	South Sudan	Northern Bahr el Ghazal	Aweil East	2021-12	SSD
374	Protests	South Sudan	Upper Nile	Malakal	2021-12	SSD
376	Explosions/Remote violence	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
377	Violence against civilians	Ethiopia	Oromia	West Shewa	2021-12	ETH
378	Violence against civilians	South Sudan	Central Equatoria	Juba	2021-12	SSD
379	Violence against civilians	South Sudan	Central Equatoria	Juba	2021-12	SSD
380	Violence against civilians	South Sudan	Western Equatoria	Mundri East	2021-12	SSD
382	Violence against civilians	South Sudan	Northern Bahr el Ghazal	Aweil West	2021-12	SSD
383	Protests	Kenya	Nairobi	Starehe	2021-12	KEN
386	Battles	Uganda	Central	Kampala	2021-12	UGA
387	Violence against civilians	Ethiopia	Oromia	East Wellega	2021-12	ETH
388	Battles	South Sudan	Upper Nile	Manyo	2021-12	SSD
389	Battles	Somalia	Lower Juba	Kismaayo	2021-12	SOM
390	Battles	Somalia	Lower Juba	Badhaadhe	2021-12	SOM
391	Battles	Somalia	Sool	Laas Caanood	2021-12	SOM
392	Violence against civilians	Somalia	Middle Shabelle	Balcad	2021-12	SOM
393	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
394	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
395	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
397	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
400	Battles	Somalia	Sool	Laas Caanood	2021-12	SOM
401	Violence against civilians	Somalia	Banadir	Banadir	2021-12	SOM
402	Protests	Somalia	Banadir	Banadir	2021-12	SOM
403	Riots	Kenya	Kirinyaga	Kirinyaga Central	2021-12	KEN
404	Riots	Uganda	Western	Rukungiri	2021-12	UGA
405	Violence against civilians	South Sudan	Jonglei	Duk	2021-12	SSD
407	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
408	Violence against civilians	Somalia	Togdheer	Buuhoodle	2021-12	SOM
409	Battles	Somalia	Banadir	Banadir	2021-12	SOM
410	Battles	Somalia	Togdheer	Buuhoodle	2021-12	SOM
411	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
414	Battles	South Sudan	Upper Nile	Manyo	2021-12	SSD
415	Battles	South Sudan	Upper Nile	Manyo	2021-12	SSD
416	Battles	South Sudan	Upper Nile	Manyo	2021-12	SSD
417	Protests	Ethiopia	Oromia	Jimma	2021-12	ETH
418	Explosions/Remote violence	Somalia	Lower Juba	Kismaayo	2021-12	SOM
419	Battles	Somalia	Banadir	Banadir	2021-12	SOM
420	Explosions/Remote violence	Ethiopia	Afar	Kilbati /Zone2	2021-12	ETH
421	Violence against civilians	South Sudan	Eastern Equatoria	Kapoeta South	2021-12	SSD
422	Battles	Ethiopia	Oromia	West Hararge	2021-12	ETH
424	Violence against civilians	Uganda	Western	Rukungiri	2021-12	UGA
425	Battles	Kenya	Samburu	Samburu West	2021-12	KEN
426	Battles	Ethiopia	Oromia	West Hararge	2021-12	ETH
427	Battles	Somalia	Lower Juba	Afmadow	2021-12	SOM
428	Protests	Kenya	Uasin Gishu	Soy	2021-12	KEN
430	Battles	Somalia	Lower Shabelle	Qoryooley	2021-12	SOM
431	Battles	Somalia	Banadir	Banadir	2021-12	SOM
432	Violence against civilians	Somalia	Hiraan	Belet Weyne	2021-12	SOM
433	Battles	Somalia	Lower Shabelle	Baraawe	2021-12	SOM
434	Battles	Somalia	Banadir	Banadir	2021-12	SOM
435	Battles	Somalia	Lower Shabelle	Baraawe	2021-12	SOM
437	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
438	Battles	Uganda	Northern	Abim	2021-12	UGA
439	Violence against civilians	South Sudan	Jonglei	Duk	2021-12	SSD
440	Violence against civilians	South Sudan	Jonglei	Bor South	2021-12	SSD
441	Battles	South Sudan	Upper Nile	Manyo	2021-12	SSD
442	Battles	Kenya	Marsabit	Saku	2021-12	KEN
444	Violence against civilians	Ethiopia	Oromia	Jimma	2021-12	ETH
445	Battles	Somalia	Lower Juba	Afmadow	2021-12	SOM
446	Explosions/Remote violence	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
447	Violence against civilians	Uganda	Eastern	Kibuku	2021-12	UGA
448	Explosions/Remote violence	Ethiopia	Afar	Kilbati /Zone2	2021-12	ETH
449	Riots	Kenya	Nairobi	Starehe	2021-12	KEN
451	Riots	Uganda	Western	Rubanda	2021-12	UGA
452	Battles	Ethiopia	Oromia	West Hararge	2021-12	ETH
453	Battles	Somalia	Lower Juba	Kismaayo	2021-12	SOM
454	Explosions/Remote violence	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
455	Battles	South Sudan	Central Equatoria	Morobo	2021-12	SSD
456	Protests	Uganda	Eastern	Bududa	2021-12	UGA
457	Battles	Uganda	Eastern	Jinja	2021-12	UGA
458	Violence against civilians	South Sudan	Jonglei	Bor South	2021-12	SSD
459	Explosions/Remote violence	Uganda	Central	Kampala	2021-12	UGA
460	Violence against civilians	Uganda	Central	Kampala	2021-12	UGA
461	Violence against civilians	Uganda	Northern	Moroto	2021-12	UGA
462	Explosions/Remote violence	Ethiopia	Afar	Kilbati /Zone2	2021-12	ETH
466	Battles	Ethiopia	Oromia	North Shewa (OR)	2021-12	ETH
467	Battles	Ethiopia	Oromia	Guji	2021-12	ETH
468	Violence against civilians	Ethiopia	Oromia	North Shewa (OR)	2021-12	ETH
469	Battles	Ethiopia	Oromia	West Hararge	2021-12	ETH
471	Violence against civilians	Kenya	Machakos	Mwala	2021-12	KEN
472	Explosions/Remote violence	Somalia	Banadir	Banadir	2021-12	SOM
473	Battles	Somalia	Banadir	Banadir	2021-12	SOM
474	Battles	Ethiopia	Oromia	East Wellega	2021-12	ETH
475	Battles	Somalia	Lower Shabelle	Afgooye	2021-12	SOM
476	Violence against civilians	South Sudan	Jonglei	Duk	2021-12	SSD
477	Violence against civilians	Ethiopia	Oromia	East Wellega	2021-12	ETH
478	Battles	Somalia	Hiraan	Belet Weyne	2021-12	SOM
479	Battles	Somalia	Bari	Bossaso	2021-12	SOM
482	Violence against civilians	Somalia	Bay	Buur Hakaba	2021-12	SOM
483	Violence against civilians	Somalia	Banadir	Banadir	2021-12	SOM
484	Battles	Somalia	Banadir	Banadir	2021-12	SOM
485	Violence against civilians	South Sudan	Eastern Equatoria	Torit	2021-12	SSD
486	Protests	Uganda	Central	Kampala	2021-12	UGA
487	Protests	Uganda	Western	Rukungiri	2021-12	UGA
488	Violence against civilians	Uganda	Eastern	Budaka	2021-12	UGA
489	Battles	South Sudan	Central Equatoria	Juba	2021-12	SSD
492	Battles	Ethiopia	Benishangul Gumz	Kamashi	2021-12	ETH
493	Riots	Uganda	Central	Kampala	2021-12	UGA
496	Battles	Ethiopia	Oromia	West Wellega	2021-12	ETH
497	Battles	Ethiopia	Oromia	North Shewa (OR)	2021-12	ETH
498	Violence against civilians	South Sudan	Unity	Rubkona	2021-12	SSD
499	Violence against civilians	South Sudan	Unity	Rubkona	2021-12	SSD
500	Battles	Somalia	Banadir	Banadir	2021-12	SOM
501	Explosions/Remote violence	Somalia	Middle Shabelle	Jowhar	2021-12	SOM
502	Violence against civilians	Kenya	Isiolo	Isiolo North	2021-12	KEN
503	Protests	Kenya	Isiolo	Isiolo North	2021-12	KEN
504	Battles	Somalia	Lower Shabelle	Marka	2021-12	SOM
505	Explosions/Remote violence	Ethiopia	Tigray	Southern	2021-12	ETH
506	Explosions/Remote violence	Ethiopia	Tigray	Southern	2021-12	ETH
507	Explosions/Remote violence	Ethiopia	Tigray	Southern	2021-12	ETH
508	Violence against civilians	Somalia	Lower Juba	Kismaayo	2021-12	SOM
509	Explosions/Remote violence	Ethiopia	Tigray	Southern	2021-12	ETH
510	Battles	Somalia	Banadir	Banadir	2021-12	SOM
